dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1024,-1,0.000615,6662990.301067,150.082764,1716.464600,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1024,-1,0.000510,8033766.948373,124.474609,1723.838623,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1024,-1,0.000526,7781775.777612,128.505373,1691.815918,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1024,-1,0.000537,7628583.375712,131.085937,1676.447876,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2048,-1,0.000678,12078498.664931,82.791747,1739.414917,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2048,-1,0.001629,5029824.682047,198.814087,1718.363647,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2048,-1,0.001607,5098255.810197,196.145513,1710.849609,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2048,-1,0.001568,5224479.605406,191.406623,1668.805664,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4096,-1,0.001068,15339444.544930,65.191409,1668.386230,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4096,-1,0.001070,15308758.134594,65.322085,1716.307617,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4096,-1,0.000748,21896103.832676,45.670226,1684.846436,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4096,-1,0.000709,23100752.246159,43.288634,1680.046509,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8192,-1,0.038609,848722.306716,1178.241684,2181.489990,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8192,-1,0.001988,16486712.162054,60.654907,1734.531006,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8192,-1,0.001263,25939256.018953,38.551607,1726.483887,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8192,-1,0.001302,25161655.986429,39.743012,1722.498657,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16384,-1,0.002507,26142477.869265,38.251921,1737.962524,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16384,-1,0.001270,51595067.412431,19.381698,1706.978882,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16384,-1,0.001771,36996370.247817,27.029679,1712.267212,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,16384,-1,0.001630,40216399.901653,24.865478,1680.648193,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32768,-1,0.001981,66175954.300495,15.111229,1716.097656,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32768,-1,0.002763,47437399.162660,21.080414,1696.918335,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32768,-1,0.002136,61373868.560054,16.293579,1695.935547,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,32768,-1,0.003313,39562934.329534,25.276184,1689.537109,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,65536,-1,0.003254,80553140.940424,12.414165,1726.810059,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,65536,-1,0.004069,64418329.306532,15.523532,1722.307617,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,65536,-1,0.004260,61533350.542864,16.251350,1727.714233,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,65536,-1,0.003446,76082519.478753,13.143624,1675.074097,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,131072,-1,0.006380,82181622.662604,12.168171,1731.716553,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,131072,-1,0.004884,107339412.396980,9.316243,1730.329346,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,131072,-1,0.005405,96996229.914715,10.309679,1717.147461,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,131072,-1,0.004616,113569768.158576,8.805160,1724.853516,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,262144,-1,0.009587,109373245.485778,9.143004,1696.428223,19.991576,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,262144,-1,0.008152,128625817.914796,7.774489,1715.966553,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,262144,-1,0.008448,124122137.575771,8.056581,1685.547363,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,262144,-1,0.009466,110768735.739218,9.027818,1702.076050,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,524288,-1,0.015605,134392288.686984,7.440903,1718.260864,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,524288,-1,0.015161,138321070.161756,7.229557,1724.823120,19.991576,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,524288,-1,0.015945,131525847.310095,7.603068,1725.106689,20.122648,0.000000
