dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,262144,-1,130.871688,4006.122409,249617.934227,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,524288,-1,252.050484,4160.182444,240374.073386,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,524288,-1,254.221719,4124.651525,242444.723845,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1048576,-1,550.280313,3811.061294,262394.100428,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1048576,-1,547.413812,3831.017691,261027.246714,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2097152,-1,1223.844875,3427.153298,291787.356138,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2097152,-1,1223.848625,3427.142797,291788.250208,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4194304,-1,2652.631750,3162.371860,316218.346357,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4194304,-1,2615.974500,3206.685692,311848.461628,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8388608,-1,5560.534500,3017.194840,331433.683634,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8388608,-1,5603.472500,2994.074835,333992.987871,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16777216,-1,11419.571000,2938.326843,340329.736471,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16777216,-1,11472.766000,2924.702901,341915.071011,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,33554432,-1,23275.106000,2883.289296,346826.106310,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,33554432,-1,23235.670000,2888.182867,346238.464117,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,67108864,-1,46876.548000,2863.216976,349257.498980,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,67108864,-1,46876.548000,2863.216976,349257.498980,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1,-2,0.002412,829.102840,1206122.994423,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1,-2,0.002321,861.773992,1160397.052765,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2,-2,0.002354,1699.275723,588486.015797,0.000000,268.435456,0.000000
