dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.665631,1613117873.400562,0.619918,1073.112793,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.597436,1797248563.775956,0.556406,1073.120972,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.584341,1837527215.516203,0.544210,1079.600586,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.661024,1624361062.727910,0.615627,1077.289551,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.536479,2001461037.956365,0.499635,1077.858276,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.524438,2047413560.993879,0.488421,1080.055298,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.596934,1798760394.440507,0.555938,1071.738770,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.574506,1868981852.775040,0.535051,1079.017090,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.657266,1633648688.123587,0.612127,1071.650635,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.667764,1607965050.384200,0.621904,1071.043701,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.617452,1738987398.941060,0.575047,1078.045410,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.609029,1763040347.001796,0.567202,1079.085327,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.632025,1698890493.355402,0.588619,1078.192871,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,3000000,512,67108864,-1,0.598848,1793010943.796041,0.557721,1081.845093,239.769216,0.494720
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,1.055911,1016886310.192362,0.983394,25.552876,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,0.995506,1078588494.050598,0.927138,25.388971,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,0.970355,1106545244.303258,0.903714,25.628284,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,0.913996,1174776943.284089,0.851225,25.482723,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,1.199818,894920405.954230,1.117418,26.001091,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,0.872221,1231043897.980065,0.812319,25.613914,269.089536,1.115392
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,4000000,262144,67108864,-1,1.037982,1034451117.786703,0.966696,25.496006,269.089536,1.115392
