dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.140515,7641491375.739933,0.130865,0.020740,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.139232,7711911107.231232,0.129670,0.020480,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.140219,7657598594.039372,0.130589,0.020021,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.142445,7537919149.866084,0.132663,0.023240,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.140361,7649856667.551647,0.130721,0.020991,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.141270,7600612615.520842,0.131568,0.022240,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.158511,6773938572.908113,0.147625,0.020501,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.139667,7687871036.547591,0.130075,0.016460,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.270936,3963089064.690009,0.252328,0.016480,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.158626,6769016970.331707,0.147732,0.018841,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.159241,6742872370.936082,0.148305,0.024210,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2
