1               100.749800      10.137848       100.749800      0.100624        0.100624       
2               56.386407       15.800171       78.590612       0.100420        0.201044       
3               61.872179       22.012756       73.021941       0.100410        0.301454       
4               61.921645       28.228699       70.248953       0.100384        0.401838       
5               58.997307       34.151733       67.999780       0.100395        0.502233       
6               60.287132       40.202271       66.715241       0.100362        0.602595       
7               60.851522       46.310364       65.877964       0.100377        0.702972       
8               55.821709       51.913635       64.621442       0.100378        0.803350       
9               57.252495       57.660583       63.802958       0.100379        0.903729       
10              133.002782      74.255341       72.197776       0.124770        1.028499       
11              647.166641      139.048370      123.202442      0.100118        1.128617       
12              609.873491      200.092438      162.847570      0.100093        1.228710       
13              605.089922      260.652863      196.157317      0.100085        1.328795       
14              612.398142      321.945343      225.312915      0.100086        1.428881       
15              609.982000      382.994781      250.492838      0.100084        1.528965       
16              609.667933      444.012787      272.559504      0.100084        1.629049       
17              606.391955      504.704132      291.882434      0.100086        1.729135       
18              609.492849      565.700348      309.259040      0.100077        1.829212       
19              608.887048      626.640808      324.802665      0.100085        1.929297       
20              605.299137      687.237305      338.639467      0.100110        2.029407       
21              615.304372      748.819427      351.642448      0.100084        2.129491       
22              609.205674      809.791168      363.204274      0.100084        2.229575       
23              604.863978      870.328979      373.586266      0.100085        2.329660       
24              608.838246      931.263947      383.276570      0.100084        2.429744       
25              608.440326      992.159088      392.184405      0.100084        2.529828       
26              595.760599      1051.807831     399.934535      0.100122        2.629950       
27              612.308814      1113.100555     407.721524      0.100101        2.730051       
28              609.705412      1174.119873     414.864143      0.100080        2.830131       
29              540.714326      1228.232941     419.162374      0.100077        2.930208       
30              618.145458      1290.100647     425.734482      0.100086        3.030294       
31              604.291345      1350.581146     431.443332      0.100085        3.130379       
32              604.055465      1411.039246     436.791239      0.100087        3.230466       
33              610.062812      1472.098602     441.998251      0.100087        3.330553       
34              605.325367      1532.683197     446.763182      0.100086        3.430639       
35              605.763482      1593.311035     451.270344      0.100085        3.530724       
36              600.624210      1653.425110     455.387396      0.100086        3.630810       
37              606.426489      1714.121124     459.439289      0.100088        3.730898       
38              606.604405      1774.832520     463.283962      0.100084        3.830982       
39              601.995711      1835.083862     466.815599      0.100086        3.931068       
40              599.586516      1895.107269     470.112758      0.100108        4.031176       
41              611.448499      1956.312653     473.537262      0.100099        4.131275       
42              607.526092      2017.114471     476.706397      0.100081        4.231356       
43              609.248363      2078.090485     479.768965      0.100084        4.331440       
44              618.153838      2140.615509     482.926793      0.101148        4.432588       
45              601.922468      2200.854706     485.554132      0.100078        4.532666       
46              608.530314      2261.760071     488.210910      0.100086        4.632752       
47              609.488352      2322.761322     490.775582      0.100086        4.732838       
48              605.274803      2383.341461     493.146792      0.100087        4.832925       
49              608.726389      2444.267059     495.491813      0.100087        4.933012       
50              608.542224      2505.174225     497.739906      0.100087        5.033099       
51              606.191280      2565.844879     499.854453      0.100085        5.133184       
52              608.812374      2626.779083     501.938287      0.100087        5.233271       
53              608.743481      2687.707001     503.942637      0.100088        5.333359       
54              607.027123      2748.462524     505.841509      0.100087        5.433446       
55              608.533363      2809.368195     507.698915      0.100086        5.533532       
56              614.839720      2870.903198     509.602307      0.100083        5.633615       
57              604.609068      2931.415497     511.260704      0.100085        5.733700       
58              609.015391      2992.367584     512.937760      0.100083        5.833783       
59              609.015471      3053.323334     514.558341      0.100089        5.933872       
60              605.223119      3113.896484     516.062180      0.100084        6.033956       
61              602.930633      3174.269135     517.480208      0.100132        6.134088       
62              595.584442      3233.897858     518.734520      0.100118        6.234206       
63              511.041470      3285.055664     518.612942      0.100105        6.334311       
64              282.325534      3313.331696     514.935072      0.100154        6.434465       
65              571.080013      3370.505371     515.795257      0.100115        6.534580       
66              612.372104      3431.798920     517.252235      0.100092        6.634672       
67              606.143797      3492.466034     518.573275      0.100087        6.734759       
68              297.297701      3522.236237     515.331433      0.100136        6.834895       
69              317.663169      3554.034637     512.478253      0.100101        6.934996       
70              606.546241      3614.746277     513.816636      0.100094        7.035090       
71              604.502101      3675.248474     515.088692      0.100086        7.135176       
72              549.818229      3730.284729     515.569170      0.100099        7.235275       
73              276.309532      3757.951050     512.303284      0.100128        7.335403       
74              474.422288      3805.445465     511.793264      0.100110        7.435513       
75              607.824946      3866.285095     513.068834      0.100094        7.535607       
76              613.925149      3927.730408     514.390823      0.100086        7.635693       
77              395.046168      3967.280060     512.846308      0.100114        7.735807       
78              552.624535      4022.603302     513.354506      0.100110        7.835917       
79              609.607938      4083.621399     514.568515      0.100094        7.936011       
80              608.933119      4144.567688     515.743796      0.100087        8.036098       
81              605.056182      4205.125946     516.842469      0.100087        8.136185       
82              607.815190      4265.957306     517.947913      0.100082        8.236267       
83              607.907705      4326.800964     519.027978      0.100087        8.336354       
84              604.274086      4387.280945     520.039309      0.100087        8.436441       
85              608.194327      4448.136261     521.072601      0.100059        8.536500       
86              607.978115      4508.986359     522.079715      0.100086        8.636586       
87              546.172538      4563.689362     522.355912      0.100157        8.736743       
88              610.357356      4624.777588     523.352618      0.100086        8.836829       
89              600.692094      4684.899658     524.218772      0.100088        8.936917       
90              457.498405      4730.690216     523.479814      0.100089        9.037006       
91              612.248468      4791.966492     524.452150      0.100084        9.137090       
92              606.067837      4852.621155     525.336405      0.100079        9.237169       
93              596.357376      4912.302216     526.097603      0.100076        9.337245       
94              247.306203      4937.061523     523.140052      0.100116        9.437361       
95              404.769453      4977.582184     521.897600      0.100108        9.537469       
96              613.942045      5039.032257     522.853529      0.100091        9.637560       
97              612.391414      5100.324677     523.773831      0.100087        9.737647       
