dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.048082,22331694634.462799,0.044779,6.876609,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.047998,22370451586.369423,0.044702,6.837028,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.048584,22100753589.682152,0.045247,6.870998,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.047976,22380985325.646526,0.044681,6.848169,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.048359,22203588222.474014,0.045038,6.970911,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.049440,21718253844.581161,0.046044,6.852739,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.048176,22287911997.652397,0.044867,6.891889,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.049610,21643746608.831280,0.046203,6.879199,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.049728,21592162484.356258,0.046313,6.854148,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.047630,22543159910.217869,0.044359,6.857529,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.049755,21580413754.443813,0.046338,6.833758,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.048216,22269315796.579445,0.044905,6.925440,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.050030,21462149656.304852,0.046594,6.887829,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.050622,21210864206.725368,0.047146,6.930910,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.049304,21778150797.944702,0.045918,6.890548,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,1000000,0,67108864,-1,0.048679,22057404244.382973,0.045336,6.865069,16.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.049503,21690413426.800945,0.046103,10.378539,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.048488,22144501881.872223,0.045158,10.372349,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.049711,21599719747.356426,0.046297,10.345338,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.049764,21576532879.553913,0.046347,10.386759,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.050072,21443884266.983711,0.046633,10.364849,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.048247,22255020353.543610,0.044934,10.381249,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.048769,22017009022.664986,0.045419,10.384949,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.048562,22110810752.626686,0.045227,10.375929,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.048722,22038030978.647282,0.045376,10.391109,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.050189,21393988774.009838,0.046742,10.391699,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.049732,21590481418.542953,0.046317,10.432570,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.047699,22510558847.364605,0.044424,10.353929,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.048435,22168788289.700859,0.045108,10.388329,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.051565,20823050163.056091,0.048024,10.406749,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.047965,22385794796.240219,0.044671,10.388959,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,2000000,0,67108864,-1,0.049373,21747723352.606903,0.045982,10.363609,32.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.048579,22102818788.725071,0.045243,13.903330,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.048555,22114102628.194714,0.045220,13.817189,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.049405,21733267232.898026,0.046012,13.901509,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.047848,22440671174.492565,0.044562,13.879749,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.049710,21600210381.781094,0.046296,13.855109,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.049248,21802729085.385685,0.045866,13.846628,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.050967,21067309917.474369,0.047467,13.828358,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.050395,21306630941.314960,0.046934,13.952621,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.048915,21951202288.887749,0.045556,13.829729,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.049609,21643921359.117340,0.046202,13.993681,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.048713,22042148703.889126,0.045368,13.914970,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.049595,21650390769.349152,0.046189,13.828759,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.049445,21715690245.058544,0.046050,13.795268,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.049898,21518782920.216702,0.046471,13.980111,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.048864,21974169094.565479,0.045508,13.863559,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,3000000,0,67108864,-1,0.048977,21923607056.232471,0.045613,13.804619,48.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.049621,21639006127.854614,0.046213,18.090858,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.049195,21826044431.127125,0.045817,18.056829,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.048157,22296585903.919071,0.044850,18.054649,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.050703,21177282986.957245,0.047220,18.060301,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.050738,21162466004.393463,0.047253,18.033237,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.048182,22285289792.370991,0.044873,18.010239,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.048323,22219962666.406475,0.045005,18.099119,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.050080,21440398559.553658,0.046641,18.070120,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.049142,21849718382.211395,0.045767,18.010599,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.049439,21718451585.241158,0.046044,18.049519,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.047665,22526871922.240089,0.044391,18.080839,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.050031,21461586727.207905,0.046595,18.017899,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.049851,21539167059.596100,0.046427,18.037380,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.048142,22303606945.450035,0.044836,18.048149,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.048668,22062475096.043476,0.045326,18.050119,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,4000000,0,67108864,-1,0.048532,22124260635.064072,0.045199,18.120371,64.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.047950,22392747439.036869,0.044657,22.309410,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.048838,21985610424.453419,0.045484,22.301670,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.048551,22115760228.341049,0.045217,22.377621,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.047230,22734554774.281612,0.043986,22.322571,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.050082,21439807375.770863,0.046642,22.342312,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.049742,21586149947.019581,0.046326,22.458033,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.048965,21928872828.237488,0.045602,22.319571,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.048973,21925145705.012260,0.045610,22.356581,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.049454,21712005084.119785,0.046057,22.274759,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.049089,21873567830.847191,0.045717,22.303741,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.048491,22143099518.964752,0.045161,22.241011,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.049517,21684384477.026760,0.046116,22.260889,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.048101,22322706598.810390,0.044797,22.393492,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.048662,22065276907.050831,0.045320,22.415201,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.050031,21461552363.306618,0.046595,22.342470,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,5000000,0,67108864,-1,0.049836,21545361243.396198,0.046414,22.318491,80.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,6000000,0,67108864,-1,0.052761,20350874240.707970,0.049138,26.375340,96.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,6000000,0,67108864,-1,0.052322,20521811938.213284,0.048729,26.332048,96.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,6000000,0,67108864,-1,0.052713,20369436493.715092,0.049093,26.406488,96.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,6000000,0,67108864,-1,0.052618,20406284034.810490,0.049005,26.358917,96.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,6000000,0,67108864,-1,0.054248,19793344507.006695,0.050522,26.324059,96.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,6000000,0,67108864,-1,0.054115,19841929767.891945,0.050398,26.350569,96.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,6000000,0,67108864,-1,0.054171,19821384415.503857,0.050451,26.353138,96.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,6000000,0,67108864,-1,0.053403,20106468515.982563,0.049735,26.335279,96.000004,0
NVIDIA RTX 6000 Ada Generation,LCA,16,6000000,0,67108864,-1,0.053075,20230840155.517189,0.049429,26.434740,96.000004,0
