dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,4,-1,0.000230,556028.563385,1798.468758,161.846848,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,4,-1,0.000187,683932.409765,1462.132786,165.033798,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,4,-1,0.000187,685617.572696,1458.539045,160.810730,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,4,-1,0.000186,689904.214383,1449.476578,162.033524,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,4,-1,0.000187,684847.220663,1460.179687,161.723923,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,4,-1,0.000188,680550.633194,1469.398383,160.785995,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,4,-1,0.000195,657986.030521,1519.789104,162.849350,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000190,1350332.019461,740.558608,163.894547,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000191,1342901.502584,744.656252,162.858459,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000195,1314762.328420,760.593743,162.898300,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000188,1359077.945138,735.792972,163.930588,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000193,1327924.808275,753.054686,161.781326,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000193,1324688.391979,754.894514,163.989059,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000187,1368822.915194,730.554690,162.905334,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000194,1319703.249176,757.746107,161.811493,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000189,1355408.181678,737.785129,161.873276,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000188,1359222.245527,735.714857,161.851913,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000191,1342901.502584,744.656252,161.746887,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000191,1341205.953501,745.597645,186.018372,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000189,1353330.201062,738.917966,160.765549,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000197,1300594.923296,768.878905,162.919128,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000191,1339591.763241,746.496080,163.911026,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,8,-1,0.000191,1339311.362951,746.652368,161.772797,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000192,2666763.918503,374.986324,161.854248,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000195,2627756.784727,380.552723,160.811874,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000191,2674704.726853,373.873045,161.835770,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000193,2659008.187656,376.080076,162.741196,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000191,2686634.421178,372.212904,165.769150,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000191,2687198.581812,372.134760,159.817825,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000197,2604630.286214,383.931649,160.779892,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000189,2709238.492233,369.107409,165.014084,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000189,2701946.766525,370.103517,162.916306,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000252,2034782.151579,491.453102,163.770203,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000193,2652396.292947,377.017568,161.758850,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000190,2695261.736774,371.021481,163.836548,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000192,2663711.627298,375.416013,161.709717,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000190,2701376.609360,370.181631,160.768967,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000192,2666361.204677,375.042961,161.801727,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,16,-1,0.000189,2705230.272513,369.654299,163.828781,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000198,5164335.776667,193.635744,162.745071,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000194,5282352.966100,189.309576,159.638626,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000192,5322992.515608,187.864251,163.093079,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000193,5309771.075884,188.332036,160.857788,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000194,5264998.117626,189.933591,161.720993,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000194,5285379.333917,189.201179,163.962051,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000191,5355592.520786,186.720703,160.824631,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000191,5357525.703650,186.653328,162.807556,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000192,5319950.526561,187.971673,163.906021,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000218,4707764.701498,212.415034,161.879242,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000194,5282898.341871,189.290033,164.160599,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000192,5321083.757531,187.931641,161.833801,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000193,5311947.228896,188.254882,164.087082,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000191,5355844.632249,186.711914,164.969543,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000194,5290841.165152,189.005863,163.983398,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,32,-1,0.000193,5317464.136519,188.059566,174.885742,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000194,10550012.110806,94.786621,160.668396,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000194,10551642.558851,94.771975,163.962631,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000193,10627753.934383,94.093259,161.996521,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000193,10584417.182004,94.478513,164.038239,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000192,10670945.750980,93.712406,159.555222,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000195,10477686.221402,95.440919,164.931046,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000194,10562581.116076,94.673829,162.923370,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000193,10586003.652446,94.464354,165.076401,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000200,10255229.372741,97.511227,160.725586,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000200,10241382.480322,97.643067,161.800583,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000194,10535901.024330,94.913572,160.737198,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000195,10477686.221402,95.440919,182.359177,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000197,10404759.386366,96.109863,164.053192,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000192,10644324.475000,93.946779,161.805573,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000193,10593724.301467,94.395509,161.902466,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,64,-1,0.000195,10479294.389212,95.426272,160.667130,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000204,20097839.300875,49.756592,187.183060,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000198,20718993.045653,48.264894,162.895752,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000192,21288648.950000,46.973390,161.857422,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000197,20741025.480085,48.213624,162.815735,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000196,20864640.294293,47.927977,159.767365,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000193,21191723.334271,47.188234,172.601883,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000219,18661187.228232,53.587159,175.555435,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000195,21058801.753943,47.486083,162.891663,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000195,21037169.669724,47.534912,162.791367,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,128,-1,0.000195,21041491.886203,47.525147,163.038116,1073.741828,0
